/home/wenjun/anaconda2/bin/python2.7 /home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/dec.py
/home/wenjun/anaconda2/lib/python2.7/site-packages/urllib3/contrib/pyopenssl.py:46: DeprecationWarning: OpenSSL.rand is deprecated - you should use os.urandom instead
  import OpenSSL.SSL
/home/wenjun/AnacondaProjects/on_my_git/mxnet_dec/aelib/autoencoder.py:111: DeprecationWarning: Calling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.
  init(k,v)
INFO:root:Iter:63000 metric:0.144117
INFO:root:Iter:64000 metric:0.144133
INFO:root:Iter:65000 metric:0.144092
INFO:root:Iter:66000 metric:0.144125
INFO:root:Iter:67000 metric:0.144095
INFO:root:Iter:68000 metric:0.144120
INFO:root:Iter:69000 metric:0.144124
INFO:root:Iter:70000 metric:0.144108
INFO:root:Iter:71000 metric:0.144154
INFO:root:Iter:72000 metric:0.144127
INFO:root:Iter:73000 metric:0.144098
INFO:root:Iter:74000 metric:0.144124
INFO:root:Iter:75000 metric:0.144123
INFO:root:Iter:76000 metric:0.144086
INFO:root:Iter:77000 metric:0.144098
INFO:root:Iter:78000 metric:0.144095
INFO:root:Iter:79000 metric:0.144092
INFO:root:At Iteration [80000]: Swith to new learning rate 0.00001
INFO:root:Iter:80000 metric:0.144106
INFO:root:Iter:81000 metric:0.144067
INFO:root:Iter:82000 metric:0.144084
INFO:root:Iter:83000 metric:0.144070
INFO:root:Iter:84000 metric:0.144090
INFO:root:Iter:85000 metric:0.144096
INFO:root:Iter:86000 metric:0.144087
INFO:root:Iter:87000 metric:0.144125
INFO:root:Iter:88000 metric:0.144092
INFO:root:Iter:89000 metric:0.144085
INFO:root:Iter:90000 metric:0.144084
INFO:root:Iter:91000 metric:0.144094
INFO:root:Iter:92000 metric:0.144078
INFO:root:Iter:93000 metric:0.144083
INFO:root:Iter:94000 metric:0.144079
INFO:root:Iter:95000 metric:0.144088
INFO:root:Iter:96000 metric:0.144096
INFO:root:Iter:97000 metric:0.144058
INFO:root:Iter:98000 metric:0.144074
INFO:root:Iter:99000 metric:0.144083
INFO:root:At Iteration [100000]: Swith to new learning rate 0.00000
INFO:root:Autoencoder Training error: 0.144084
INFO:root:Autoencoder Validation error: 0.167329
1294.31526299 [6905 7079 5926 9062 4434 9132 6895 7126 6623 6818]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.800414285714
63095 70.0
INFO:root:Iter:0 metric:0.206395
1270.48455323 [6978 7157 5983 9206 4341 8728 6767 7200 6827 6813]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.804414285714
1050 70.0
1383.50135526 [7110 7442 6107 9449 4025 8670 6574 7261 6530 6832]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8019
1441 70.0
1569.13944568 [7041 7757 5939 9801 3682 8883 6508 7028 6488 6873]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.7967
1393 70.0
1634.78897721 [ 7011  8021  5863 10059  3682  8819  6400  6852  6443  6850]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.794157142857
1010 70.0
1668.49614923 [ 7065  8051  5973 10215  3610  8751  6518  6635  6390  6792]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.7956
917 70.0
INFO:root:Iter:50 metric:0.208502
1634.10140444 [ 6967  8014  6089 10100  3587  8695  6455  6869  6392  6832]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.795442857143
873 70.0
1608.95183272 [ 6976  8198  6176 10043  3666  8615  6505  6516  6468  6837]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.797457142857
806 70.0
1597.16605273 [ 6988  8188  6226 10004  3621  8543  6503  6515  6603  6809]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.798257142857
536 70.0
1624.75739728 [7004 8603 6240 9895 3617 8530 6341 6298 6641 6831]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.796214285714
731 70.0
1584.83014863 [ 6986  8247  6323 10019  3634  8390  6485  6485  6584  6847]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.799414285714
797 70.0
INFO:root:Iter:100 metric:0.218378
1589.36333165 [6958 8421 6346 9953 3662 8424 6462 6342 6578 6854]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8001
433 70.0
1577.87090727 [6988 8616 6333 9836 3688 8328 6446 6196 6689 6880]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.800571428571
540 70.0
1517.06736831 [6989 8597 6454 9601 3728 8305 6481 6210 6691 6944]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.802514285714
521 70.0
1534.23498852 [6961 8550 6432 9763 3721 8240 6541 6297 6580 6915]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.803628571429
467 70.0
1537.10741329 [6973 8606 6493 9727 3695 8225 6538 6295 6541 6907]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.8042
300 70.0
INFO:root:Iter:150 metric:0.194429
1523.46860814 [6957 8621 6507 9674 3749 8222 6487 6152 6623 7008]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.805985714286
526 70.0
1545.64297301 [6968 8467 6581 9859 3660 8132 6481 6262 6633 6957]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.806242857143
563 70.0
1535.54264024 [7012 8578 6597 9818 3773 8139 6508 6106 6520 6949]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.807471428571
474 70.0
1539.3587626 [6945 8639 6579 9876 3831 8102 6493 6105 6514 6916]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.807942857143
358 70.0
1493.6789481 [6961 8570 6624 9770 3871 8079 6428 6290 6519 6888]
378.824233649 [6903 7877 6990 7141 6824 6313 6876 7293 6825 6958]
0.808771428571
457 70.0
INFO:root:Iter:200 metric:0.174969
